SURVEY_ID,STUDENT_ID,EQ_TYPE,
1,B2,motivating oneself,
2,C1,social skill,empathy
3,B1,No Survey results,
4,C11,self awareness,
5,A2,motivating oneself,
6,A11,empathy,
7,D3,self awareness,
8,A1,No Survey results,
9,C8,managing emotions,
10,B7,social skill,
11,A6,self awareness,
12,C7,self awareness,
13,A9,self awareness,social skill
14,B11,motivating oneself,
15,C10,self awareness,
16,D10,empathy,
17,A10,managing emotions,
18,A3,No Survey results,
19,C4,empathy,
20,A7,self awareness,
21,B4,self awareness,
22,A8,self awareness,
23,B8,social skill,
24,D8,self awareness,
