Type,Presentation Phase,avg_engagement,avg_workload,Dimension
E,1 Early (0-150s),1.0279533034714445,1.0164917133258677,IE
E,2 Middle (150-450s),1.0514952949198773,1.0281789635185816,IE
E,3 Late (450s+),1.1042115515288788,1.0348445073612684,IE
I,1 Early (0-150s),1.0349575230296828,1.0285916581371546,IE
I,2 Middle (150-450s),1.064563361136855,1.0569599938214396,IE
I,3 Late (450s+),0.9974006554307115,0.9624659176029964,IE
N,1 Early (0-150s),1.0601216296296296,1.0360332592592592,SN
N,2 Middle (150-450s),1.0690343183984747,1.0391210200190657,SN
N,3 Late (450s+),1.062511955420466,0.9578375886524824,SN
S,1 Early (0-150s),1.015509372384937,1.0153461924686193,SN
S,2 Middle (150-450s),1.0528470776031433,1.0454205550098232,SN
S,3 Late (450s+),1.0285719917012448,1.0335016597510374,SN
F,1 Early (0-150s),1.0250495412844036,1.0126182874617737,TF
F,2 Middle (150-450s),1.1270114420062696,1.101321355799373,TF
F,3 Late (450s+),1.0997119815668204,1.0049479262672811,TF
T,1 Early (0-150s),1.0367104988123514,1.0307322565320667,TF
T,2 Middle (150-450s),1.0099209784411276,1.002337285793256,TF
T,3 Late (450s+),1.0187155384615385,0.990354,TF
J,1 Early (0-150s),1.0339317162930746,1.0246380394780863,JP
J,2 Middle (150-450s),1.0537686085416256,1.0369030308994291,JP
J,3 Late (450s+),1.0489457523598,0.994328706274292,JP
P,1 Early (0-150s),1.0223830892143808,1.0155515312916112,JP
P,2 Middle (150-450s),1.079732782369146,1.0730248852157944,JP
P,3 Late (450s+),1.007276,1.0059686666666665,JP
